NAZEV;Pb;Zn
benesov;2,90690106;2,803360381
benesov;2,753660712;2,803360381
benesov;3,640214282;2,803360381
benesov;2,76000994;2,803360381
benesov;2,208274414;2,809402695
benesov;2,740840024;2,809402695
benesov;2,541601993;2,809402695
benesov;2,653241965;2,809402695
benesov;2,370243741;2,809402695
benesov;2,980618636;2,809402695
benesov;2,557227311;2,809402695
benesov;2,442347035;2,809402695
benesov;2,261763098;2,809402695
benesov;2,493205453;2,809402695
benesov;2,721295428;2,809402695
benesov;2,949688335;2,815408719
benesov;2,617395833;2,815408719
benesov;2,302585093;2,815408719
benesov;2,63188884;2,815408719
benesov;2,944438979;2,815408719
benesov;2,772588722;2,815408719
benesov;2,646174797;2,821378886
benesov;2,939161922;2,821378886
benesov;2,468099531;2,821378886
benesov;2,541601993;2,821378886
benesov;2,091864062;2,827313622
benesov;2,468099531;2,827313622
benesov;2,58021683;2,827313622
benesov;3,020424886;2,827313622
benesov;2,493205453;2,827313622
benesov;2,459588842;2,827313622
benesov;2,850706502;2,827313622
benesov;2,714694744;2,833213344
benesov;2,939161922;2,833213344
benesov;2,740840024;2,833213344
benesov;3,288401888;2,833213344
benesov;2,778819272;2,833213344
benesov;2,890371758;2,839078464
benesov;2,379546134;2,839078464
benesov;2,501435952;2,839078464
benesov;3,126760536;2,839078464
benesov;2,990719732;2,844909384
benesov;2,844909384;2,844909384
benesov;2,747270914;2,844909384
benesov;2,766319109;2,844909384
benesov;2,564949357;2,844909384
benesov;2,610069793;2,844909384
benesov;2,939161922;2,844909384
benesov;2,587764035;2,844909384
benesov;2,219203484;2,844909384
benesov;2,772588722;2,850706502
benesov;2,928523524;2,850706502
benesov;2,587764035;2,850706502
benesov;2,32238772;2,850706502
benesov;2,549445171;2,850706502
benesov;2,617395833;2,850706502
benesov;2,525728644;2,850706502
benesov;2,856470206;2,850706502
benesov;2,617395833;2,850706502
benesov;2,985681938;2,850706502
benesov;2,809402695;2,856470206
benesov;3,044522438;2,856470206
benesov;2,48490665;2,856470206
benesov;2,617395833;2,856470206
benesov;2,595254707;2,856470206
benesov;2,2300144;2,856470206
benesov;2,721295428;2,856470206
benesov;2,549445171;2,862200881
benesov;2,302585093;2,862200881
benesov;2,928523524;2,862200881
benesov;2,93385687;2,862200881
benesov;2,557227311;2,862200881
benesov;2,809402695;2,862200881
benesov;2,493205453;2,862200881
benesov;2,442347035;2,862200881
benesov;2,631169157;2,862772146
benesov;2,468099531;2,867898902
benesov;2,895911938;2,867898902
benesov;2,844909384;2,867898902
benesov;3,254242969;2,867898902
benesov;2,681021529;2,867898902
benesov;2,76000994;2,867898902
benesov;2,541601993;2,867898902
benesov;2,646174797;2,867898902
benesov;3,025291076;2,867898902
benesov;2,332143895;2,87356464
benesov;2,014903021;2,87356464
benesov;2,995732274;2,87356464
benesov;2,76000994;2,87356464
benesov;3,058707073;2,87356464
benesov;2,557227311;2,87356464
benesov;3,058707073;2,87356464
benesov;3,104586678;2,879198457
benesov;2,990719732;2,879198457
benesov;3,04927304;2,879198457
benesov;2,587764035;2,879198457
benesov;2,617395833;2,879198457
benesov;2,388762789;2,879198457
benesov;2,302585093;2,884800713
benesov;2,360854001;2,884800713
benesov;2,595254707;2,884800713
benesov;2,917770732;2,884800713
benesov;2,890371758;2,886475288
benesov;2,681021529;2,890371758
benesov;2,734367509;2,890371758
benesov;2,753660712;2,890371758
benesov;2,653241965;2,890371758
benesov;2,895911938;2,890371758
benesov;3,034952987;2,890371758
benesov;2,388762789;2,890371758
benesov;2,197224577;2,895911938
benesov;2,564949357;2,895911938
benesov;2,610069793;2,895911938
benesov;2,433613355;2,895911938
benesov;2,58021683;2,895911938
benesov;2,602689685;2,895911938
benesov;2,624668592;2,895911938
benesov;2,397895273;2,895911938
benesov;2,694627181;2,895911938
benesov;2,727852828;2,895911938
benesov;2,970414466;2,895911938
benesov;3,068052935;2,901421594
benesov;2,517696473;2,901421594
benesov;2,208274414;2,901421594
benesov;3,025291076;2,901421594
benesov;3,08190997;2,901421594
benesov;2,424802726;2,90690106
benesov;2,341805806;2,90690106
benesov;2,617395833;2,90690106
benesov;2,525728644;2,90690106
benesov;3,100092289;2,90690106
benesov;2,312535424;2,90690106
benesov;2,415913778;2,90690106
benesov;2,734367509;2,90690106
benesov;2,862200881;2,90690106
benesov;2,4765384;2,90690106
benesov;2,379546134;2,90690106
benesov;2,753660712;2,90690106
benesov;2,282382386;2,90690106
benesov;2,415913778;2,90690106
benesov;2,63188884;2,912350665
benesov;2,397895273;2,912350665
benesov;3,793239469;2,912350665
benesov;2,708050201;2,912350665
benesov;2,208274414;2,912350665
benesov;2,58021683;2,912350665
benesov;2,617395833;2,917770732
benesov;2,63905733;2,917770732
benesov;2,415913778;2,917770732
benesov;2,879198457;2,917770732
benesov;2,90690106;2,917770732
benesov;2,595254707;2,917770732
benesov;2,251291799;2,917770732
benesov;2,884800713;2,917770732
benesov;2,549445171;2,917770732
benesov;2,442347035;2,917770732
benesov;2,681021529;2,923161581
benesov;3,353406718;2,923161581
benesov;2,820187701;2,925846146
benesov;2,517696473;2,928523524
benesov;2,272125886;2,928523524
benesov;2,442347035;2,928523524
benesov;2,867898902;2,928523524
benesov;2,747270914;2,928523524
benesov;2,58021683;2,928523524
